Passport,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COD,CRI,CIV,HRV,CUB,CYP,CZE,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,SWZ,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,XKX,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,PRK,MKD,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,ROU,RUS,RWA,KNA,LCA,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,KOR,SSD,ESP,LKA,VCT,SDN,SUR,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TON,TTO,TUN,TKM,TUV,TUR,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VAT,VEN,VNM,YEM,ZMB,ZWE,AFG
AZE,1,2,2,2,1,2,0,1,2,-1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1,2
BHS,1,2,1,1,1,2,1,1,1,1,-1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2
BHR,1,2,2,2,1,2,1,1,2,1,1,-1,1,1,1,2,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,10,1,2,2,1,1,1,1,2
BGD,1,2,2,2,1,2,2,1,2,2,1,1,-1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,1,2,2,1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,0,2,2,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,1,1,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2
BRB,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2
BLR,1,2,2,2,1,1,1,1,2,1,1,1,1,1,-1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,1,1,1,2,2,1,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,2
BEL,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
BLZ,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2,2,-1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,2,1,1,2
BEN,1,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,-1,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2
BTN,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,2,2,1,-1,1,2,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2
BOL,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,-1,2,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,2
BIH,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,-1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,1,1,2
BWA,1,2,2,1,1,2,2,1,2,2,1,1,1,1,2,2,1,1,1,1,2,-1,1,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,1,1,1,2,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,1,2,1,1,1,2,1,1,2,2,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,2,2,1,1,2,2,1,2,1,1,2
BRA,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2
BRN,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2
BGR,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2
BFA,1,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,-1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2
BDI,1,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,-1,1,1,2,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2
KHM,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,-1,1,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2
CMR,1,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,2,1,1,1,-1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2
